$ACROBAT	Acrobat
$AGENT	Agent
$ARCHER	Archer
$ASSASSIN	Assassin
$BARBARIAN	Barbarian
$BARD	Bard
$BATTLEMAGE	Battlemage
$CRUSADER	Crusader
$HEALER	Healer
$KNIGHT	Knight
$MAGE	Mage
$MONK	Monk
$NIGHTBLADE	Nightblade
$PILGRIM	Pilgrim
$ROGUE	Rogue
$SCOUT	Scout
$SORCERER	Sorcerer
$SPELLSWORD	Spellsword
$THIEF	Thief
$WARRIOR	Warrior
$WITCHHUNTER	Witchhunter
$CUSTOM	Adventurer
$ACROBAT_DESC	Acrobat is a polite euphemism for agile burglars and second-story men. These thieves avoid detection by stealth, and rely on mobility and cunning to avoid capture.
$AGENT_DESC	Agents are operatives skilled in deception and avoidance, but trained in self-defense and the use of deadly force. Self-reliant and independent, agents devote themselves to personal goals, or to various patrons or causes.
$ARCHER_DESC	Archers are fighters specializing in long-range combat and rapid movement. Opponents are kept at distance by ranged weapons and swift maneuver, and engaged in melee with sword and shield after the enemy is wounded and weary.
$ASSASSIN_DESC	Assassins are killers who rely on stealth and mobility to approach victims undetected. Execution is with ranged weapons or with short blades for close work. Assassins include ruthless murderers and principled agents of noble causes.
$BARBARIAN_DESC	Barbarians are the proud, savage warrior elite of the plains nomads, mountain tribes, and sea reavers. They tend to be brutal and direct, lacking civilized graces, but they glory in heroic feats, and excel in fierce, frenzied single combat.
$BARD_DESC	Bards are loremasters and storytellers. They crave adventure for the wisdom and insight to be gained, and must depend on sword, shield, spell and enchantment to preserve them from the perils of their educational experiences.
$BATTLEMAGE_DESC	Battlemages are wizard-warriors, trained in both lethal spellcasting and heavily armored combat. They sacrifice mobility and versatility for the ability to supplement melee and ranged attacks with elemental damage and summoned creatures.
$CRUSADER_DESC	Any heavily armored warrior with spellcasting powers and a good cause may call himself a Crusader. Crusaders do well by doing good. They hunt monsters and villains, making themselves rich by plunder as they rid the world of evil.
$HEALER_DESC	Healers are spellcasters who swear solemn oaths to heal the afflicted and cure the diseased. When threatened, they defend themselves with reason and disabling attacks and magic, relying on deadly force only in extremity.
$KNIGHT_DESC	Of noble birth, or distinguished in battle or tourney, knights are civilized warriors, schooled in letters and courtesy, governed by the codes of chivalry. In addition to the arts of war, knights study the lore of healing and enchantment.
$MAGE_DESC	Most mages claim to study magic for its intellectual rewards, but they also often profit from its practical applications. Varying widely in temperament and motivation, mages share but one thing in common - an avid love of spellcasting.
$MONK_DESC	Monks are students of the ancient martial arts of hand-to-hand combat and unarmored self defense. Monks avoid detection by stealth, mobility, and Agility, and are skilled with a variety of ranged and close-combat weapons.
$NIGHTBLADE_DESC	Nightblades are spellcasters who use their magics to enhance mobility, concealment, and stealthy close combat. They have a sinister reputation, since many nightblades are thieves, enforcers, assassins, or covert agents.
$PILGRIM_DESC	Pilgrims are travellers, seekers of truth and enlightenment. They fortify themselves for road and wilderness with arms, armor, and magic, and through wide experience of the world, they become shrewd in commerce and persuasion.
$ROGUE_DESC	Rogues are adventurers and opportunists with a gift for getting in and out of trouble. Relying variously on charm and dash, blades and business sense, they thrive on conflict and misfortune, trusting to their luck and cunning to survive.
$SCOUT_DESC	Scouts rely on stealth to survey routes and opponents, using ranged weapons and skirmish tactics when forced to fight. By contrast with barbarians, in combat scouts tend to be cautious and methodical, rather than impulsive.
$SORCERER_DESC	Though spellcasters by vocation, sorcerers rely most on summonings and enchantments. They are greedy for magic scrolls, rings, armor and weapons, and commanding undead and Daedric servants gratifies their egos.
$SPELLSWORD_DESC	Spellswords are spellcasting specialists trained to support Imperial troops in skirmish and in battle. Veteran spellswords are prized as mercenaries, and well-suited for careers as adventurers and soldiers-of-fortune.
$THIEF_DESC	Thieves are pickpockets and pilferers. Unlike robbers, who kill and loot, thieves typically choose stealth and subterfuge over violence, and often entertain romantic notions of their charm and cleverness in their acquisitive activities.
$WARRIOR_DESC	Warriors are the professional men-at-arms, soldiers, mercenaries, and adventurers of the Empire, trained with various weapons and armor styles, conditioned by long marches, and hardened by ambush, skirmish, and battle.
$WITCHHUNTER_DESC	Witchhunters are dedicated to rooting out and destroying the perverted practices of dark cults and profane sorcery. They train for martial, magical, and stealthy war against vampires, witches, warlocks, and necromancers.
$CUSTOM_DESC	I was born 87 years ago. For 65 years I ruled as Tamriel's emperor. But for all these years, I've never been the ruler of my own dreams. I have seen the gates of oblivion, beyond which no waking eye may see. Behold! in darkness, a doom sweeps the land. This is the 27th of last seed. The year of Akatosh 433. These are the closing days of the 3rd era... and the final hours of my life.
$AGILITY	Agility
$ENDURANCE	Endurance
$INTELLIGENCE	Intelligence
$LUCK	Luck
$PERSONALITY	Personality
$SPEED	Speed
$STRENGTH	Strength
$WILLPOWER	Willpower
$AGILITY_DESC	Affects weapon hit rate, evasion, resistance to staggering and knock down, and success rate of Sneaking, Pickpocketing, Lockpicking, Blocking, and Jumping. Agility also affects maximum Fatigue.
$ENDURANCE_DESC	Affects starting health, amount added to max health per level, and your maximum Fatigue. Also slows down fatigue loss while running, and while fighting.
$INTELLIGENCE_DESC	Affects maximum Magicka, and Alchemy and Enchanting results.
$LUCK_DESC	Affects everything you do in a small way, but governs no skills. Luck affects every "dice roll" in the game: an example of this is whether or not your blow will land when you attempt to hit an enemy.
$PERSONALITY_DESC	Affects success rate of persuasion and haggling. Increases your initial disposition with characters and can alleviate initial hostility.
$SPEED_DESC	Affects character movement speed (i.e. walking, running, swimming, and levitating).
$STRENGTH_DESC	Affects weapon damage, carrying capacity, and increases weapon degradation upon each successful hit. It also increases maximum Fatigue and starting Health.
$WILLPOWER_DESC	Affects spellcasting success rate and resistance to Magicka (Paralyze and Silence). It also determines maximum Fatigue.
$ARMORER	Armorer
$ATHLETICS	Athletics
$AXE	Axe
$BLOCK	Block
$BLUNT	Blunt
$HEAVY_ARMOR	Heavy Armor
$BLADE	Blade
$MEDIUM_ARMOR	Medium Armor
$POLEARMS	Polearms
$ARMORER_DESC	The Armorer skill is used to maintain weapons and armor at top effectiveness. Damaged weapons do less damage. Damaged armor provides less protection against attacks. As wear increases, the diminishing effectiveness of weapons and armor becomes dramatic.
